Reusing 7000 files from subspace_big/sample.json (--num-files ignored)
Sampling 7000 files x 12288 tokens = 86,016,000 tokens (352.3 GB fp16 in RAM) | sample fingerprint 82ca602ed7e7
  loaded 100/7000 files (37.9 files/s)
  loaded 200/7000 files (39.0 files/s)
  loaded 300/7000 files (40.8 files/s)
  loaded 400/7000 files (42.6 files/s)
  loaded 500/7000 files (43.4 files/s)
  loaded 600/7000 files (44.8 files/s)
  loaded 700/7000 files (45.8 files/s)
  loaded 800/7000 files (46.7 files/s)
  loaded 900/7000 files (47.2 files/s)
  loaded 1000/7000 files (48.1 files/s)
  loaded 1100/7000 files (48.8 files/s)
  loaded 1200/7000 files (49.4 files/s)
  loaded 1300/7000 files (50.1 files/s)
  loaded 1400/7000 files (50.5 files/s)
  loaded 1500/7000 files (51.1 files/s)
  loaded 1600/7000 files (45.7 files/s)
  loaded 1700/7000 files (42.2 files/s)
  loaded 1800/7000 files (39.3 files/s)
  loaded 1900/7000 files (37.3 files/s)
  loaded 2000/7000 files (35.5 files/s)
  loaded 2100/7000 files (34.1 files/s)
  loaded 2200/7000 files (32.7 files/s)
  loaded 2300/7000 files (31.7 files/s)
  loaded 2400/7000 files (30.7 files/s)
  loaded 2500/7000 files (30.0 files/s)
  loaded 2600/7000 files (29.3 files/s)
  loaded 2700/7000 files (28.5 files/s)
  loaded 2800/7000 files (27.8 files/s)
  loaded 2900/7000 files (27.3 files/s)
  loaded 3000/7000 files (27.0 files/s)
  loaded 3100/7000 files (26.5 files/s)
  loaded 3200/7000 files (26.2 files/s)
  loaded 3300/7000 files (25.8 files/s)
  loaded 3400/7000 files (25.5 files/s)
  loaded 3500/7000 files (25.3 files/s)
  loaded 3600/7000 files (25.0 files/s)
  loaded 3700/7000 files (24.8 files/s)
  loaded 3800/7000 files (24.6 files/s)
  loaded 3900/7000 files (24.3 files/s)
  loaded 4000/7000 files (24.2 files/s)
  loaded 4100/7000 files (24.0 files/s)
  loaded 4200/7000 files (23.9 files/s)
  loaded 4300/7000 files (23.7 files/s)
  loaded 4400/7000 files (23.5 files/s)
  loaded 4500/7000 files (23.3 files/s)
  loaded 4600/7000 files (23.2 files/s)
  loaded 4700/7000 files (23.1 files/s)
  loaded 4800/7000 files (22.9 files/s)
  loaded 4900/7000 files (22.8 files/s)
  loaded 5000/7000 files (22.8 files/s)
  loaded 5100/7000 files (22.6 files/s)
  loaded 5200/7000 files (22.5 files/s)
  loaded 5300/7000 files (22.5 files/s)
  loaded 5400/7000 files (22.4 files/s)
  loaded 5500/7000 files (22.3 files/s)
  loaded 5600/7000 files (22.2 files/s)
  loaded 5700/7000 files (22.1 files/s)
  loaded 5800/7000 files (22.0 files/s)
  loaded 5900/7000 files (21.9 files/s)
  loaded 6000/7000 files (21.8 files/s)
  loaded 6100/7000 files (21.8 files/s)
  loaded 6200/7000 files (21.7 files/s)
  loaded 6300/7000 files (21.7 files/s)
  loaded 6400/7000 files (21.6 files/s)
  loaded 6500/7000 files (21.5 files/s)
  loaded 6600/7000 files (21.5 files/s)
  loaded 6700/7000 files (21.4 files/s)
  loaded 6800/7000 files (21.3 files/s)
  loaded 6900/7000 files (21.3 files/s)
  loaded 7000/7000 files (21.3 files/s)
iter  1: obj/token=7659.1961  changed=100.0000%  sizes[min/med/max]=127/39715/23702502  (63.4s)
iter  2: obj/token=3092.8358  changed=74.6448%  sizes[min/med/max]=2108/538033/5171010  (73.7s)
iter  3: obj/token=2834.4311  changed=40.8644%  sizes[min/med/max]=31953/592357/2312301  (90.7s)
iter  4: obj/token=2765.6283  changed=22.3308%  sizes[min/med/max]=125563/617961/1977172  (95.8s)
iter  5: obj/token=2737.2188  changed=14.8082%  sizes[min/med/max]=156615/626189/1676012  (94.4s)
iter  6: obj/token=2722.1923  changed=10.9532%  sizes[min/med/max]=171476/629556/1581330  (92.1s)
iter  7: obj/token=2712.8496  changed=8.5786%  sizes[min/med/max]=182258/641421/1531793  (92.3s)
iter  8: obj/token=2706.5277  changed=6.9667%  sizes[min/med/max]=188586/636900/1491608  (96.6s)
iter  9: obj/token=2701.9706  changed=5.8682%  sizes[min/med/max]=193709/640320/1457367  (95.2s)
iter 10: obj/token=2698.3977  changed=5.0955%  sizes[min/med/max]=198848/642706/1444461  (111.9s)
iter 11: obj/token=2695.5696  changed=4.5146%  sizes[min/med/max]=205626/647949/1421788  (100.0s)
iter 12: obj/token=2693.2138  changed=4.0931%  sizes[min/med/max]=210482/649338/1395454  (101.8s)
iter 13: obj/token=2691.1160  changed=3.7399%  sizes[min/med/max]=214633/652829/1380268  (98.8s)
iter 14: obj/token=2689.3433  changed=3.4013%  sizes[min/med/max]=219147/657818/1375497  (96.0s)
iter 15: obj/token=2687.8012  changed=3.1128%  sizes[min/med/max]=220110/658397/1376128  (100.5s)
iter 16: obj/token=2686.4034  changed=2.8702%  sizes[min/med/max]=219939/660739/1378148  (96.2s)
iter 17: obj/token=2685.1959  changed=2.6477%  sizes[min/med/max]=219637/659943/1379993  (104.1s)
iter 18: obj/token=2684.1833  changed=2.4613%  sizes[min/med/max]=219318/657055/1381436  (100.6s)
iter 19: obj/token=2683.3020  changed=2.2912%  sizes[min/med/max]=219277/659117/1382534  (108.6s)
iter 20: obj/token=2682.5486  changed=2.1347%  sizes[min/med/max]=219580/661045/1383572  (105.8s)
iter 21: obj/token=2681.8560  changed=2.0098%  sizes[min/med/max]=220328/662497/1384443  (95.8s)
iter 22: obj/token=2681.2187  changed=1.8938%  sizes[min/med/max]=221170/659574/1385269  (118.1s)
iter 23: obj/token=2680.6985  changed=1.7756%  sizes[min/med/max]=221624/653788/1385951  (107.4s)
iter 24: obj/token=2680.2201  changed=1.6740%  sizes[min/med/max]=221293/654667/1386489  (98.6s)
iter 25: obj/token=2679.7898  changed=1.5844%  sizes[min/med/max]=221704/656527/1386832  (101.9s)
iter 26: obj/token=2679.4093  changed=1.4911%  sizes[min/med/max]=222946/653433/1387125  (99.2s)
iter 27: obj/token=2679.0765  changed=1.4049%  sizes[min/med/max]=223158/653692/1387333  (101.3s)
iter 28: obj/token=2678.7891  changed=1.3387%  sizes[min/med/max]=223219/654350/1387562  (99.3s)
iter 29: obj/token=2678.5162  changed=1.2867%  sizes[min/med/max]=223006/652387/1387824  (97.7s)
iter 30: obj/token=2678.2673  changed=1.2377%  sizes[min/med/max]=222595/650095/1388035  (100.8s)
